Company Name,Avg. % of Female Employees,Avg. % of Male Employees,Avg. % of White Employees,Avg. % of Black Employees,Avg. % of Asian Employees,Avg. % of Latino Employees,Avg. % of Multi Employees
Amazon,37.5,62.5,57.0,16.5,13.0,10.0,
Apple,31.2,68.8,54.8,8.2,18.2,11.8,2.2
Cisco,23.2,76.8,53.8,4.0,37.0,5.0,1.0
Dell,29.5,70.8,68.6,10.0,9.1,11.1,
DiversityInc top 50,51.5,48.5,70.5,11.2,9.0,9.2,
Etsy,52.0,48.0,79.0,3.0,10.7,4.0,3.3
Facebook,32.8,67.2,53.5,2.2,37.0,4.2,3.0
Flickr,37.0,62.2,48.8,2.0,40.2,4.0,2.0
Fortune 500 CEOs,5.1,94.8,80.5,1.4,6.6,2.2,0.5
Google,30.5,69.5,59.0,2.0,32.0,3.2,3.5
Google+,30.2,69.8,59.2,2.0,31.8,3.2,3.5
Groupon,46.2,53.8,68.8,5.0,16.2,5.8,
HP,34.0,66.0,72.2,6.2,7.5,12.5,1.2
Indiegogo,46.2,53.8,62.5,2.5,24.2,7.8,
Ingram Micro,39.2,60.9,60.3,11.1,11.4,16.5,1.0
Instagram,32.0,68.0,55.0,2.2,35.5,4.2,3.0
Intel,25.2,75.1,57.6,3.7,29.0,8.7,1.0
Kaiser Permanente,76.0,24.0,48.0,13.0,20.0,18.0,
LinkedIn,41.2,58.8,54.2,2.5,37.8,4.0,1.5
Microsoft,27.8,72.2,58.6,3.6,29.4,5.3,1.4
Nvidia,16.3,83.7,37.8,1.0,44.2,3.0,14.0
Pandora,49.0,51.0,69.5,3.5,13.0,7.2,5.8
Pinterest,41.2,58.8,49.5,1.5,41.8,3.0,2.0
Salesforce,29.5,70.5,66.5,2.2,22.5,4.0,2.2
Tumblr,37.0,62.2,48.8,2.0,40.2,4.0,2.0
Twitter,32.8,64.8,58.5,2.2,29.8,3.2,3.0
U.S. Population,50.8,49.2,63.2,12.3,4.4,16.4,1.4
US Congress,19.2,80.8,80.0,8.2,4.9,6.2,
Uber,36.1,63.9,49.8,8.8,30.9,5.6,4.3
Venture Capitalists,11.0,89.0,87.0,2.0,9.0,2.0,2.0
Yahoo!,37.0,62.2,48.0,2.0,41.2,4.0,2.0
YouTube,30.2,69.8,59.8,2.0,31.2,3.2,4.0
eBay,41.5,58.5,58.2,6.2,28.5,4.8,1.0
